"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Каждый эндпоинт эхо-сервиса отвечает только на свой HTTP-метод: /get — на GET и HEAD, /post — на POST. Любой другой метод должен приводить к 404, а не к 405.","29","PATCH https://postman-echo.com/post возвращает 404","","2026-08-24","passed","2026-08-24","","test_echo","",""
"На HEAD сервис отдаёт те же заголовки, что и на GET, но тело ответа пустое.","30","HEAD /get отвечает 200 без тела","","2026-08-24","passed","2026-08-24","TestGetEndpoint","test_echo","",""
"JSON-тело со вложенным объектом и массивом возвращается дважды — в json и в data — без искажений, а Content-Length совпадает с длиной отправленного тела.","36","POST /post возвращает JSON-тело в полях json и data","","2026-08-24","passed","2026-08-24","TestPostEndpoint","test_echo","",""
"Загружаем файл report.txt вместе с обычным текстовым полем. Имя файла должно оказаться в files, поле — в form, а Content-Type запроса — multipart с boundary.","42","POST /post разбирает multipart: файл в files, поле в form","","2026-08-24","passed","2026-08-24","TestPostEndpoint","test_echo","",""
"Каждый эндпоинт эхо-сервиса отвечает только на свой HTTP-метод: /get — на GET и HEAD, /post — на POST. Любой другой метод должен приводить к 404, а не к 405.","29","POST https://postman-echo.com/get возвращает 404","","2026-08-24","passed","2026-08-24","","test_echo","",""
"Каждый эндпоинт эхо-сервиса отвечает только на свой HTTP-метод: /get — на GET и HEAD, /post — на POST. Любой другой метод должен приводить к 404, а не к 405.","35","DELETE https://postman-echo.com/get возвращает 404","","2026-08-24","passed","2026-08-24","","test_echo","",""
"Тело application/x-www-form-urlencoded разбирается сервисом в объект form, при этом data остаётся пустой строкой, а files и args — пустыми объектами.","32","POST /post кладёт form-urlencoded тело в поле form","","2026-08-24","passed","2026-08-24","TestPostEndpoint","test_echo","",""
"Квери-строка и тело обрабатываются независимо: параметры попадают в args, тело — в json, а url содержит исходную квери-строку.","37","POST /post отражает квери-параметры и тело одновременно","","2026-08-24","passed","2026-08-24","TestPostEndpoint","test_echo","",""
"Каждый эндпоинт эхо-сервиса отвечает только на свой HTTP-метод: /get — на GET и HEAD, /post — на POST. Любой другой метод должен приводить к 404, а не к 405.","27","GET https://postman-echo.com/post возвращает 404","","2026-08-24","passed","2026-08-24","","test_echo","",""
"Каждый эндпоинт эхо-сервиса отвечает только на свой HTTP-метод: /get — на GET и HEAD, /post — на POST. Любой другой метод должен приводить к 404, а не к 405.","30","PUT https://postman-echo.com/get возвращает 404","","2026-08-24","passed","2026-08-24","","test_echo","",""
"Для не-JSON тела сервис возвращает его строкой в data, поле json равно null, form пустой. Проверяем на кириллице, чтобы поймать проблемы с кодировкой.","34","POST /post кладёт text/plain тело в data строкой","","2026-08-24","passed","2026-08-24","TestPostEndpoint","test_echo","",""
"Отправляем три квери-параметра, один из них повторяется дважды. Сервис обязан вернуть их в args, повторяющийся — списком значений, а также отразить полный URL запроса. Полей тела (form/data) в ответе GET нет.","137","GET /get возвращает квери-параметры в поле args","","2026-08-24","passed","2026-08-24","TestGetEndpoint","test_echo","",""
"Сервис возвращает полученные заголовки в объекте headers, приводя имена к нижнему регистру. Заголовок X-Request-Id съедается edge-прокси сервиса и в эхо не попадает, поэтому проверяем на X-Trace-Id.","33","GET /get отражает пользовательские заголовки в нижнем регистре","","2026-08-24","passed","2026-08-24","TestGetEndpoint","test_echo","",""
